PROIZVOD,SPAR_CENA,MERKATOR_CENA,TUS_CENA,NAJCENEJSI,RAZLIKA_EUR
Piščančje hrenovke Poli Kids, vakuumsko pakirano, Perutnina Ptuj, 100 ,1.89,1.15,1.89,merkator,0.74
Leskovački čevapčiči, Anton, pakirano, 450 g,5.59,5.59,6.29,merkator,0.70
Narezek piščančje prsi Slim & Fit, Pepperito, Perutnina Ptuj, pakirano,1.49,1.79,1.89,spar,0.40
Narezek zimska salama, Gavrilović, pakirano, 80 g,2.39,3.69,2.29,tus,1.40
ČAJNA SALAMA NAREZEK, DOBRO, 80G,2.39,,2.29,tus,0.10
ANTONOVA KLOBASA S SIROM, MESO KAMNIK, 360G...,5.99,,5.99,spar,0.00
Domača gorenjska zaseka v lončku, Čadež, pakirano, 275 g,3.25,3.99,,spar,0.74
Piščančje pleskavice, Pivka, pakirano, 400 g, IK,4.39,4.39,,merkator,0.00
Piščančji file, Pivka, pakirano, 500 g, IK,6.49,6.49,,merkator,0.00
Leskovački čevapčiči, Ave Grill, pakirano, 480 g,7.99,7.99,7.99,merkator,0.00
Leskovačke pleskavice, Ave Grill, pakirano, 480 g,7.99,7.99,,merkator,0.00
Savinjski želodec, Z'dežele, pakirano, 500 g,13.49,13.49,13.49,merkator,0.00
Čajna klobasa, Z'dežele, pakirano, 560 g,9.59,9.99,,spar,0.40
Domača suha salama, Z'dežele, pakirano, 500 g,11.38,7.99,9.99,merkator,3.39
