name,price,sale_price,store,date
"AJVAR MOJ VRT, 350G",2.68,,Spar,2026-01-02 00:00:00
"AJVAR MOJ VRT, 680G",3.85,,Spar,2026-01-02 00:00:00
"AJVAR NEPEKOČ, NATURETA, 1KG",5.48,,Spar,2026-01-02 00:00:00
"AJVAR NEPEKOČ, NATURETA, 290G",2.69,,Spar,2026-01-02 00:00:00
"AJVAR NEPEKOČ, NATURETA, 540G",4.19,,Spar,2026-01-02 00:00:00
"AJVAR NEPEKOČI, NATURETA, 650G",2.89,,Spar,2026-01-02 00:00:00
"AJVAR PEKOČ, NATURETA, 290G",2.59,,Spar,2026-01-02 00:00:00
"AJVAR PEKOČI, SQUEEZE, PODRAVKA, 310G",2.28,,Spar,2026-01-02 00:00:00
"AJVAR POLPEKOČ, NATURETA, 1KG",6.29,,Spar,2026-01-02 00:00:00
"AJVAR POLPEKOČ, NATURETA, 290G",2.69,,Spar,2026-01-02 00:00:00
"AJVAR POLPEKOČ, NATURETA, 540G",3.69,,Spar,2026-01-02 00:00:00
"AJVAR RAHLO PEKOČ, DROGA, 280G",2.44,,Spar,2026-01-02 00:00:00
ajvar-bakina-tajna-300-g-,5.49,,Tus,2026-01-02 00:00:00
ajvar-natureta-290-g,2.69,,Tus,2026-01-02 00:00:00
ajvar-natureta-s-peceno-papriko-nepekoci-domac-230-g,4.59,,Tus,2026-01-02 00:00:00
ajvar-tus-prazeni-blagi-360-g,1.49,,Tus,2026-01-02 00:00:00
"AJVAR, NEPEKOČI, S-BUDGET, 680 G",2.06,,Spar,2026-01-02 00:00:00
"AJVAR, RAHLO PEKOČI, DROGA, 690 G",4.58,,Spar,2026-01-02 00:00:00
"AJVAR, SPAR PREMIUM, 340G",2.99,,Spar,2026-01-02 00:00:00
"AKACIJEV MED, BOŽNAR, 450G",10.98,,Spar,2026-01-02 00:00:00
"AKACIJEV MED, MEDEX, 450G",10.38,,Spar,2026-01-02 00:00:00
"AKACIJEV MED, MEDEX, 450G, SLOVENIJA",10.99,,Spar,2026-01-02 00:00:00
"AKACIJEV MED, MEDEX, 500G",9.68,,Spar,2026-01-02 00:00:00
"AKACIJEV MED, MEDEX, 900G, SLOVENIJA",18.98,,Spar,2026-01-02 00:00:00
"AKRILNA PILICA ZA NOHTE GROBA/SREDNJE GROBA, KISS, 2/1",2.95,,Spar,2026-01-02 00:00:00
"AKTIVNE DROŽI, HAVE2BAKE, 12G",0.76,,Spar,2026-01-02 00:00:00
"AKTIVNI GEL ZA ČIŠČENJE PEČICE, DR. BECKMANN, 375ML",3.79,,Spar,2026-01-02 00:00:00
albanski-brandy-skanderbeu-alk-40--vol-07-l,20.49,,Tus,2026-01-02 00:00:00
albanski-brandy-skenderbeu-alk-40--vol-02-l,5.49,,Tus,2026-01-02 00:00:00
albanski-brandy-skenderbeu-alk-40--vol-05-l,11.72,,Tus,2026-01-02 00:00:00
"ALBUMINSKA KOZJA SKUTA, KMETIJA IN KOZJEREJA VIDEC, 260G, VP",5.29,,Spar,2026-01-02 00:00:00
"ALBUMINSKA SKUTA BARONICA, ČUŠ, 1KG",9.99,,Spar,2026-01-02 00:00:00
"ALBUMINSKA SKUTA, MLEKARNA PLANIKA, 350G",10.11,,Spar,2026-01-02 00:00:00
"ALJAŠKI POLAK FILETI, S-BUDGET, 900G",5.96,,Spar,2026-01-02 00:00:00
"ALJAŠKI POLAK KOŠČKI, FJORDGOLD, 125G",2.75,,Spar,2026-01-02 00:00:00
"ALJAŠKI POLAK REZINE V OLJU, FJORGOLD, 100G",2.98,,Spar,2026-01-02 00:00:00
"ALJAŽEVA KLOBASA, KRAS, 1KG",19.59,,Spar,2026-01-02 00:00:00
"ALKOHOL 96%, DANA, 1L",32.56,,Spar,2026-01-02 00:00:00
"ALKOHOLIZIRANO VINO MARSALA SEMISECCO, PELLEGRINO, 0,75L",14.07,,Spar,2026-01-02 00:00:00
"ALKOHOLNA FERMENTIRANA PIJAČA, COCKTAIL LEMON SPRITZ A.LE COQ, 0,33L",1.49,,Spar,2026-01-02 00:00:00
"ALKOHOLNA PENEČA PIJAČA, COSMOPOLITAN DIVA BERRY, 0,75L",6.99,,Spar,2026-01-02 00:00:00
"ALKOHOLNA PENEČA PIJAČA, COSMOPOLITAN DIVA PASSION FRUIT, 0,75L",6.99,,Spar,2026-01-02 00:00:00
"ALKOHOLNA PIJAČA COCKTAIL BLUE LAGOON, DANA, 0,7L",8.28,,Spar,2026-01-02 00:00:00
"ALKOHOLNA PIJAČA COCKTAIL GIN IN MANGO, MIX, 0,33L",1.46,,Spar,2026-01-02 00:00:00
"ALKOHOLNA PIJAČA COCKTAIL GIN IN MARAKUJA , MIX, 0,33L",1.46,,Spar,2026-01-02 00:00:00
"ALKOHOLNA PIJAČA COCKTAIL KAMIKAZE, MIX, 0,33L",1.46,,Spar,2026-01-02 00:00:00
"ALKOHOLNA PIJAČA COCKTAIL MOJITO, DANA, 0,7L",8.39,,Spar,2026-01-02 00:00:00
"ALKOHOLNA PIJAČA COCKTAIL MOJITO, MIX, 0,33L",1.19,,Spar,2026-01-02 00:00:00
"ALKOHOLNA PIJAČA COCKTAIL SEX ON THE BEACH, DANA, 0,7L",8.39,,Spar,2026-01-02 00:00:00
"ALKOHOLNA PIJAČA COCKTAIL SEX ON THE BEACH, MIX, 0,33L",1.19,,Spar,2026-01-02 00:00:00
"ALKOHOLNA PIJAČA COCKTAIL VODKA IN LUBENICA, MIX, 0,33L",1.46,,Spar,2026-01-02 00:00:00
"ALKOHOLNA PIJAČA GIN IN ROSE, J.FREITAG, 0,5L",1.99,,Spar,2026-01-02 00:00:00
"ALKOHOLNA PIJAČA GIN TONIC, J.FREITAG, 0,5L",1.99,,Spar,2026-01-02 00:00:00
"ALKOHOLNA PIJAČA GINGER&LIME, JAMESON, 0,25L",2.9,,Spar,2026-01-02 00:00:00
"ALKOHOLNA PIJAČA IZ VINA, ŽGANJA IN BOROVNIC KLEOPATRIN ELIKSIR, AMON, 0,5L",14.52,,Spar,2026-01-02 00:00:00
"ALKOHOLNA PIJAČA MASTIKA GROZD, 1L",36.27,,Spar,2026-01-02 00:00:00
"ALKOHOLNI GEL ZA ROKE, SPAR MEDIHELP, 50ML",0.99,,Spar,2026-01-02 00:00:00
"ALKOHOLNI KIS 9%, RENŠKI HRAM, 1L",1.88,,Spar,2026-01-02 00:00:00
"ALKOHOLNI KIS 9%, RENŠKI HRAM, 5L",9.68,,Spar,2026-01-02 00:00:00
"ALKOHOLNI KIS MATEJEV, 1L",1.39,,Spar,2026-01-02 00:00:00
"ALKOHOLNI KIS ZA VLAGANJE AROMATIZIRAN 9%, TALIS, 1L",1.94,,Spar,2026-01-02 00:00:00
